"agentID","agentRemarks","agentType","preferredAgentName"
"fecc369a137da7e4c3d6708d6e8cf75b","","schema:Person","Frank sr G.A. (Amsterdam)"
"ef5c0c4efbf17744e37fca13643d5ec7","","schema:Person","Not stated"
"52cd077246df14832c9810cfe09a6980","","schema:Person","Epping O."
"9eb756bfe08aaf870d34427329e008aa","","schema:Person","Mooy J."
"31ab5afc6040f8c31d2fc3f46fa8f0d5","","schema:Person","Sandee H."
"596c6fe44c1fa1ea34f89dafdddf8f89","","schema:Person","Moerbeek D."
"b353c939ae496c28debccd60e3f51a5a","","schema:Person","Van Franeker J.A."
"5935e96b5428b35575d0a155b1dcba00","","schema:Person","Penard F.P."
"c991c749abe82e047c1ff4f44ebd2b2e","","schema:Person","A.P."
"ebd2ab74f48556264f7eb84833ecacde","","schema:Person","Voous K.H."
"ec65f244c35668eee0a0671b4d114f92","","schema:Person","Müller B.C.C."
"abbae91f18dd2b5bc3ff9e06c60874c6","","schema:Person","Koelers H.J."
"9f126566818f85333b7812c2bae6623f","","schema:Person","Hulst T. van der"
"e3037f9e1c83f4e9e38372744d08693f","","schema:Person","Buitendijk P."
"6f8978db7082ed21b2b1c92bc13e7ce6","","schema:Person","ten Zeldam P."
"9cdd3a6733bc5f820dc3f33b3f025d8f","","schema:Person","Chen K.H."
"938667f302ed17230609595088e02ef5","","schema:Person","Sillevoldt H.E.Th. van"
"e6eb5126d93474e626217a4343d7f615","","schema:Person","Mees G.F."
"b503f96dcb5298a76557a70b881cfca3","","schema:Person","Bartels"
"865536faa50efdc10bc7ff2857b90471","","schema:Person","Jacobson E.R."
"af5322fd21ce5a5272402bbe793c6501","","schema:Person","Boon J.I."
"2ae333b989cb734d72b142de7766b97c","","schema:Person","Haverschmidt F"
"2e8dcb31fed40355cd5439a5a23cff74","","schema:Person","Trap J.J."
"f016cef01fe06cfa58bb3db090346d10","","schema:Person","Bartels M.E.G."
"75181dcfe70ababe666e385e03c68d99","","schema:Person","Buker J.B."
"cd5d54383e29395d68d0a8095cfc05b1","","schema:Person","De Graaf G.M."
"8d330b3fe099c0f88602ca71456dce9b","","schema:Person","H.W."
"78a66f7020321e302b0a143add0c1d16","","schema:Person","Jacobson E."
"b91b5033dfeaeaa84da36a8ba6b9c1c7","","schema:Person","Austin Wildlife Rescue"
"b678aa3c00683cfbbd73f8ab661fb302","","schema:Person","Kuiper F.J."
"8960e1b99d24e145c39665381aef9a22","","schema:Person","Epping C."
"9fcc8186c318a7227e65a8066d6b9018","","schema:Person","Bernardus S."
"933f099bbad000966c7c2609020578c9","","schema:Person","Haverschmidt F."
"35228c8c84d5243a1f76a3505b39e13e","","schema:Person","Horstok H.B. van"
"6eaa7e629d6fe6ed8836c0113b32cade","","schema:Person","Tschusi V. von cf"
"7599a8d3bab2412140bb945b402418ba","","schema:Person","f'idc Beilnman"
"020be9bda9262a2ffa6dbea222d4a4de","","schema:Person","Verbeek F.A.Th.H. On Verbeek label:\nLeg. Fr. Verbeek"
"3819ab28d9989bfa193774363b35f202","","schema:Person","Roselaar C.S."
"bfbeda2312ea583ff5cacd556143eaa4","","schema:Person","Dedem F.K. Baron van"
"507c7d120df7c9986e35f67339d2d9ec","","schema:Person","Hoedt D.S."
"31c9d1f2e06b8f61a2930c8818a69993","","schema:Person","Jacobson E.R.; Heurn W.C. van"
"3dee10c6e3ffaf60a57abbf1171bc7ca","","schema:Person","Meer G. v.d."
"72c37e317928c57adf8372585acaac89","","schema:Person","Visser J.J."
"ee69e47e31cf6b46924e87f447f8d0fb","","schema:Person","Bremer J."
"64cdae3364bd423ffa7d2580f43e38f1","","schema:Person","Rutten L."
"b82109294a0e339041dc481da8ebb241","","schema:Person","Hens P.A."
"087213ba452c62881568839104a525d0","","schema:Person","Van Musschenbroek S."
"eb4a249d66ba383617877e6d9c7c9154","","schema:Person","De Bussy L.P."
"bb1a2b4b759d659d4a346fece5d5bc6b","","schema:Person","Groeneveldt W."
"4d2da803860d62b1bbdd2079c32d1345","","schema:Person","Van Heurn Jhr F.C."
"da13429549459bdc2e233a8a257d2305","","schema:Person","Becking J.H."
"a8d2eecf1e8189095f82502a32952edf","","schema:Person","Blaauw Ed."
"217fdca74126645a2bcdf43834af3058","","schema:Person","Henrici A.H."
"3ccadabcc6d14a6414961dc87c6f9072","","schema:Person","Overkamp J."
"1c024362cdcfa302d3942e5f0c725559","","schema:Person","Brandes A.F.K."
