"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","siteNumber","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","France","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","293f063b1dec82aec0e9a080e6cf6d9b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","New Caledonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","England","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1891-06-04","","b1522d20701e1a311fde3ea71ab56358","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Haidburn [?]","","","","","","","","","","","","","","","","","Yorkshire","","","","","4/6/1891","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1962-11-05","","d322dee171241e67bf132a76a4243c09","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Fortin","","","","","","","","","","","","","","","","","Prov. Veracruz","","","","","05-11-1962","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-12-29","","18985de1ea1aed11c3e5d614f9bbf1b5","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Texel","","","","","","","","","","","","","","","","","","","","","","","","29/12/1908","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1982-08-07","","04203cf31c2db7b8ffcc4fa682f14067","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Zwanenburg, Haarlemmerweg pl 11,6 [Rottepolderplein]","","","","","","","","","","","","","","","","","North Holland","","","","","7-8-1982","","","","","","",""
"","","","Netherlands","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1978-02-05","","c256f74ebed5ed1a3146d3bfb0e81565","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Castricum","","","","","","","","","","","","","","","","","North Holland","","","","","5-2-1978","","","","","","",""
"","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1984-12-30","","ca18768692fdd3f3f84990253147ba12","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Ardery I., Wilkesland","","","","","","","","","","","","","","","","","","","","","","30-12-1984","","","","","","",""
"","","","Suriname","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1901-05-02","","163357278d2833b243e225f6d2c1f768","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","Suriname, no further locality","","","","","","","","","","","","","","","","","","","","","","2/5/1901","","","","","","",""
"","","","Netherlands Antilles","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1952-03-18","","1435261d0fa728a2618b34f0b4c45d15","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Curaçao","","Malpais","","","","","","","","","","","","","","","","","","","","","","18-3-1952","","","","","","",""
"","","","Indonesia","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1923-06-11","","21a8573dd4dd21a534a69b78f2ecb67c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","Java","","Semarang, C Java","","","","","","","","","","","","","","","","","","","","","","11/6/1923","","","","","","",""
