"class","cultivarEpithet","externalClassificationSource","family","genericName","genus","geoClassificationCode","geoName","identificationID","infragenericEpithet","infraspecificEpithet","kingdom","nameAccordingTo","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","order","phylum","scientificName","scientificNameAuthorship","scientificNameID","specificEpithet","subfamily","subgenus","taxonID","taxonRank","taxonSortOrder","vernacularName"
"Aves","","","Psittaculidae","Eunymphicus","Eunymphicus J. L. Peters, 1937","","","3c4853e4fc98ad19deac4209500798d4","","","Animalia","","","","ICZN","","Psittaciformes","Chordata","Eunymphicus cornutus (J. F. Gmelin, 1788)","(J. F. Gmelin, 1788)","","cornutus","","","https://www.catalogueoflife.org/data/taxon/3CG7W","SPECIES","",""
"Aves","","","Motacillidae Horsfield, 1821","Motacilla","Motacilla Linnaeus, 1758","","","ff0ab39ea6039465bde992a73954b78b","","","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Motacilla flava Linnaeus, 1758","Linnaeus, 1758","","flava","","","https://www.catalogueoflife.org/data/taxon/44G9F","SPECIES","",""
"Aves","","","Cardinalidae","Piranga","Piranga Vieillot, 1808","","","051ca5363c6d2f65c2c70b7907711c42","","cooperi","Animalia","","","1869","ICZN","","Passeriformes","Chordata","Piranga rubra cooperi Ridgway, 1869","Ridgway, 1869","","rubra","","","https://www.catalogueoflife.org/data/taxon/BNVWG","SUBSPECIES","",""
"Aves","","","Podicipedidae Bonaparte, 1831","Tachybaptus","Tachybaptus Reichenbach, 1853","","","b1229f3f735bf4a19ae9aae81d1a24f1","","ruficollis","Animalia","","","","ICZN","","Podicipediformes","Chordata","Tachybaptus ruficollis ruficollis (Pallas, 1764)","(Pallas, 1764)","","ruficollis","","","https://www.catalogueoflife.org/data/taxon/BP48X","SUBSPECIES","",""
"Aves","","","Sturnidae Rafinesque, 1815","Sturnus","Sturnus Linnaeus, 1758","","","5ef79e2453f27942712ae93bef2b7657","","vulgaris","Animalia","","","1758","ICZN","","Passeriformes","Chordata","Sturnus vulgaris vulgaris Linnaeus, 1758","Linnaeus, 1758","","vulgaris","","","https://www.catalogueoflife.org/data/taxon/BP3RY","SUBSPECIES","",""
"Aves","","","Gaviidae Allen, 1897","Gavia","Gavia J. R. Forster, 1788","","","075e28f1b1952e8c72dfabc46a47a978","","arctica","Animalia","","","","ICZN","","Gaviiformes","Chordata","Gavia arctica arctica (Linnaeus, 1758)","(Linnaeus, 1758)","","arctica","","","https://www.catalogueoflife.org/data/taxon/BNGDN","SUBSPECIES","",""
"Aves","","","Procellariidae Leach, 1820","Fulmarus","Fulmarus Stephens, 1826","","","3cf64946c4a237cf095ab52e885cb4e0","","","Animalia","","","","ICZN","","Procellariiformes","Chordata","Fulmarus glacialoides (A. Smith, 1840)","(A. Smith, 1840)","","glacialoides","","","https://www.catalogueoflife.org/data/taxon/6K48R","SPECIES","",""
"Aves","","","Ardeidae Leach, 1820","Egretta","Egretta T. Forster, 1817","","","0e34836587fbbe95a01953fcf142d6ac","","","Animalia","","","","ICZN","","Pelecaniformes","Chordata","Egretta tricolor (Statius Muller, 1776)","(Statius Muller, 1776)","","tricolor","Ardeinae Leach, 1820","","https://www.catalogueoflife.org/data/taxon/6DYQW","SPECIES","",""
"Aves","","","Scolopacidae Rafinesque, 1815","Tringa","Tringa Linnaeus, 1758","","","70b280f6d07e4ce2fe34c8103fa8bdc9","","solitaria","Animalia","","","1813","ICZN","","Charadriiformes","Chordata","Tringa solitaria solitaria A. Wilson, 1813","A. Wilson, 1813","","solitaria","","","https://www.catalogueoflife.org/data/taxon/BP5XD","SUBSPECIES","",""
"Aves","","","Nectariniidae Vigors, 1825","Nectarinia","Cinnyris Cuvier, 1816","","","5cf6bbc78d6b3d0a775b752c3c3a206c","","","Animalia","","","","ICZN","","Passeriformes","Chordata","Cinnyris jugularis (Linnaeus, 1766)","(Linnaeus, 1766)","","jugularis","","","https://www.catalogueoflife.org/data/taxon/5Z75C","SPECIES","",""
"Aves","","","Laridae","Sterna","Thalasseus F. Boie, 1822","","","586ba062906017206bbac5323c8cde6f","","eurygnathus","Animalia","","","","ICZN","","Charadriiformes","Chordata","Thalasseus acuflavidus eurygnathus (H. Saunders, 1876)","(H. Saunders, 1876)","","acuflavidus","","","https://www.catalogueoflife.org/data/taxon/9HJCP","SUBSPECIES","",""
"Aves","","","Strigidae","Bubo","Bubo Duméril, 1805","","","81dd1b4456cd5d5793922639b18f331a","","bubo","Animalia","","","","ICZN","","Strigiformes","Chordata","Bubo bubo bubo (Linnaeus, 1758)","(Linnaeus, 1758)","","bubo","Striginae","","https://www.catalogueoflife.org/data/taxon/BMH68","SUBSPECIES","",""
"Aves","","","Hydrobatidae Mathews, 1912","Oceanodroma","Oceanodroma Reichenbach, 1853","","","c818cec56b4f3c4101c0df297439867b","","","Animalia","","","","ICZN","","Procellariiformes","Chordata","Oceanodroma leucorhoa (Vieillot, 1818)","(Vieillot, 1818)","","leucorhoa","Hydrobatinae","","https://www.catalogueoflife.org/data/taxon/48C48","SPECIES","",""
"Aves","","","Muscicapidae Fleming, 1822","Ficedula","Ficedula Brisson, 1760","","","da5c86b3ef03f8185beae2ef78758a17","","hypoleuca","Animalia","","","","ICZN","","Passeriformes","Chordata","Ficedula hypoleuca hypoleuca (Pallas, 1764)","(Pallas, 1764)","","hypoleuca","","","https://www.catalogueoflife.org/data/taxon/BNFQD","SUBSPECIES","",""
"Aves","","","Laridae","Anous","Anous Stephens, 1826","","","8b657f8ae083eb836949ee41d564ff06","","","Animalia","","","1844","ICZN","","Charadriiformes","Chordata","Anous minutus F. Boie, 1844","F. Boie, 1844","","minutus","","","https://www.catalogueoflife.org/data/taxon/5V9V5","SPECIES","",""
"Aves","","","Strigidae","Otus","Otus Pennant, 1769","","","43ce2c0b4b115b585f0a408af987b102","","glabripes","Animalia","","","","ICZN","","Strigiformes","Chordata","Otus lettia glabripes (Swinhoe, 1870)","(Swinhoe, 1870)","","lettia","Striginae","","https://www.catalogueoflife.org/data/taxon/BNRSZ","SUBSPECIES","",""
"Aves","","","Anatidae Leach, 1820","Aythya","Aythya F. Boie, 1822","","","f3bb00a5671e7b79de3a4fe088f14208","","","Animalia","","","","ICZN","","Anseriformes","Chordata","Aythya ferina (Linnaeus, 1758)","(Linnaeus, 1758)","","ferina","","","https://www.catalogueoflife.org/data/taxon/K56T","SPECIES","",""
"","","","","","Agyrtria","","","8fc19c2b9729fd15db1c9e2b8ebb5213","","","Animalia","","","","ICZN","","","","Animalia","","","","","","https://www.catalogueoflife.org/data/taxon/N","KINGDOM","",""
"Aves","","","Passerellidae","Pipilo","Pipilo Vieillot, 1816","","","0dd3307d1e189a2c41e7944e1c759133","","arcticus","Animalia","","","","ICZN","","Passeriformes","Chordata","Pipilo maculatus arcticus (Swainson, 1832)","(Swainson, 1832)","","maculatus","","","https://www.catalogueoflife.org/data/taxon/BNVRX","SUBSPECIES","",""
