"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","collectorNumber","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","discipline","disposition","eventID","evidenceForOccurrenceID","externalClassificationSource","feedbackURL","geoClassificationCode","geoName","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","scientificName","scientificNameAuthorship","scientificNameID","taxonID","taxonRank","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel","vernacularName"
"","ZMA.AVES.1014","","","","","","","","","","","https://doi.org/TEST/ZZZ-YMH-ZHA","Zoology","","293f063b1dec82aec0e9a080e6cf6d9b","","","https://doi.org/TEST/ZZZ-YMH-ZHA","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.1014","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.78854","","","","","","","","","","","https://doi.org/TEST/ZZZ-WPD-K1T","Zoology","","b1522d20701e1a311fde3ea71ab56358","","","https://doi.org/TEST/ZZZ-WPD-K1T","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.78854","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","RMNH.AVES.34302","","","","","","","","","","","https://doi.org/TEST/ZZZ-P2Q-A33","Zoology","","d322dee171241e67bf132a76a4243c09","","","https://doi.org/TEST/ZZZ-P2Q-A33","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34302","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.234210","","","","","","","","","","","https://doi.org/TEST/ZZZ-JAZ-GZD","Zoology","","18985de1ea1aed11c3e5d614f9bbf1b5","","","https://doi.org/TEST/ZZZ-JAZ-GZD","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.234210","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.34909","","","","","","","","","","","https://doi.org/TEST/ZZZ-HT9-MGQ","Zoology","","04203cf31c2db7b8ffcc4fa682f14067","","","https://doi.org/TEST/ZZZ-HT9-MGQ","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.34909","","","","","","","","","Wing (study skin)","","","","","","","","","","",""
"","ZMA.AVES.31709","","","","","","","","","","","https://doi.org/TEST/ZZZ-AQ2-6KL","Zoology","","c256f74ebed5ed1a3146d3bfb0e81565","","","https://doi.org/TEST/ZZZ-AQ2-6KL","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.31709","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.36986","","","","","","","","","","","https://doi.org/TEST/ZZY-WZR-VN0","Zoology","","ca18768692fdd3f3f84990253147ba12","","","https://doi.org/TEST/ZZY-WZR-VN0","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.36986","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.179722","","","","","","","","","","","https://doi.org/TEST/ZZY-TH9-72C","Zoology","","163357278d2833b243e225f6d2c1f768","","","https://doi.org/TEST/ZZY-TH9-72C","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.179722","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","ZMA.AVES.11031","","","","","","","","","","","https://doi.org/TEST/ZZY-NTM-EPF","Zoology","","1435261d0fa728a2618b34f0b4c45d15","","","https://doi.org/TEST/ZZY-NTM-EPF","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.11031","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.176886","","","","","","","","","","","https://doi.org/TEST/ZZY-NBN-G1C","Zoology","","21a8573dd4dd21a534a69b78f2ecb67c","","","https://doi.org/TEST/ZZY-NBN-G1C","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.176886","","","","","","","","","egg (air dried)","","","","","","","","","","",""
