agent_id	agent_type	preferred_agent_name	agent_remarks
https://www.inaturalist.org	organization	iNaturalist	
522768	person	Nancy Hamlett	
5000772	person		
81779	person	LSchare (she/her)	
266196	person		
12809	person	Cedric Lee	
1113207	person		
195291	person	Stephanie Calloway	
497764	person		
109975	person	David Kaposi	
164822	person	The Hog Potato	
1520013	person		
1167463	person	Sabina Lucke Lawrence	
421748	person	Sara Cristina Medina	
1577275	person	Demi Eslava	
422849	person		
513070	person	Jenny Hazlehurst	
4973419	person	Kathleen Nguyen	
828394	person	Andrea Kreuzhage	
23091	person		
246499	person	Sula Vanderplank	
477693	person	Dkt7sc	
52839	person	Jesse Rorabaugh	
1424366	person	Katherine Hadary	
34488	person	Casey H. Richart	
121050	person	Rosalind Helfand	
