identification_id	material_entity_id	media_id	nucleotide_analysis_id	nucleotide_sequence_id	occurrence_id	organism_id	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	taxon_assignment_method	identification_verification_status	identification_remarks	taxon_id	scientific_name_id	geo_classification_code	geo_name	scientific_name	scientific_name_authorship	vernacular_name	taxon_rank	external_classification_source	kingdom	phylum	class	order	family	subfamily	genus	generic_name	subgenus	infrageneric_epithet	specific_epithet	infraspecific_epithet	cultivar_epithet	name_according_to	nomenclatural_code	nomenclatural_status	name_published_in	name_published_in_year	taxon_remarks	feedback_url
a2c04e38-ce30-4bc9-9732-710d73bdf730		https://inaturalist-open-data.s3.amazonaws.com/photos/2156910/medium.jpg					Anna's Hummingbird	true	A			David Kaposi	109975	2015-07-20 03:49:24 UTC									Calypte anna		Anna's Hummingbird			Animalia	Chordata	Aves	Apodiformes	Trochilidae	Trochilinae	Calypte	Calypte												
10e5fe50-4a82-429e-809d-0f59d306708b		https://inaturalist-open-data.s3.amazonaws.com/photos/2160291/medium.jpg					tree tobacco	true	A			David Kaposi	109975	2015-07-21 00:47:38 UTC									Nicotiana glauca		tree tobacco			Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicotianoideae	Nicotiana	Nicotiana												
2f1300b4-dd2f-4c52-a53e-81975e40c68c		https://inaturalist-open-data.s3.amazonaws.com/photos/3536791/medium.jpg					Checkered White	true	A			David Kaposi	109975	2016-05-01 02:06:06 UTC									Pontia protodice		Checkered White			Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pierinae	Pontia	Pontia												
e160fdf0-8c15-4c58-96ce-cc28fe95d47a		https://static.inaturalist.org/photos/3536795/medium.jpg					Gray Hairstreak	true	A			David Kaposi	109975	2016-05-01 02:06:10 UTC									Strymon melinus		Gray Hairstreak			Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Theclinae	Strymon	Strymon												
b33361e6-fb60-4cf5-a888-425b701082b7		https://inaturalist-open-data.s3.amazonaws.com/photos/3545284/medium.jpg					Duskywings	true	A			David Kaposi	109975	2016-05-01 17:59:51 UTC									Encelia californica		California brittlebush			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Encelia	Encelia												
bba6d7eb-6095-4e94-bd5a-e6fdda1783e9		https://inaturalist-open-data.s3.amazonaws.com/photos/4277219/medium.jpg					Sonoran Bumble Bee	true	A			Jesse Rorabaugh	52839	2016-07-16 19:29:16 UTC									Bombus sonorus		Sonoran Bumble Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apinae	Bombus	Bombus												
62b15292-619a-46a8-ba6a-7481429a9bda		https://inaturalist-open-data.s3.amazonaws.com/photos/5614905/medium.jpg					Cloudless Sulphur	true	A			Rosalind Helfand	121050	2016-11-26 04:42:04 UTC									Phoebis sennae		Cloudless Sulphur			Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Coliadinae	Phoebis	Phoebis												
070023cf-f665-4152-bd51-7780b2a34afa		https://inaturalist-open-data.s3.amazonaws.com/photos/6105218/medium.jpg					Anna's Hummingbird	true	A			Rosalind Helfand	121050	2017-01-23 19:21:28 UTC									Calypte anna		Anna's Hummingbird			Animalia	Chordata	Aves	Apodiformes	Trochilidae	Trochilinae	Calypte	Calypte												
4f86d49c-8c4d-45ed-9747-1574486cdbe8		https://inaturalist-open-data.s3.amazonaws.com/photos/7722979/medium.jpg					Buckwheat Root Borer	true	A			David Kaposi	109975	2017-05-10 11:52:57 UTC									Synanthedon polygoni		Buckwheat Root Borer Moth			Animalia	Arthropoda	Insecta	Lepidoptera	Sesiidae	Sesiinae	Synanthedon	Synanthedon												
47bf4ffc-5869-4bd3-8424-fae994293cc6		https://inaturalist-open-data.s3.amazonaws.com/photos/7732852/medium.jpg					Bernardino Blue	true	A			David Kaposi	109975	2017-05-11 01:22:15 UTC									Euphilotes bernardino		Bernardino Blue			Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatinae	Euphilotes	Euphilotes												
0c4f0de9-9f1e-47f6-8da3-fdca0416fd0d		https://inaturalist-open-data.s3.amazonaws.com/photos/17593582/medium.jpg					Valley Carpenter Bee	true	A			Rosalind Helfand	121050	2018-05-07 18:58:20 UTC									Xylocopa sonorina		Valley Carpenter Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Xylocopinae	Xylocopa	Xylocopa												
00402098-5b31-4adf-8824-35044066ad4b		https://inaturalist-open-data.s3.amazonaws.com/photos/17596625/medium.jpg					Gray Buckeye	true	A			Rosalind Helfand	121050	2018-05-07 19:50:30 UTC									Junonia grisea		Gray Buckeye			Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalinae	Junonia	Junonia												
3bac18d3-a343-436b-bf3d-5aad4b238a5e		https://inaturalist-open-data.s3.amazonaws.com/photos/20290139/medium.jpg					Van Dyke's Bumble Bee	true	A			Rosalind Helfand	121050	2018-06-25 04:15:56 UTC									Bombus vandykei		Van Dyke's Bumble Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apinae	Bombus	Bombus												
