usage_policy_id	rights	rights_iri	rights_holder	rights_holder_id	owner	owner_id	usage_terms	web_statement	access_rights	license	license_logo_url	licensing_exception	credit	attribution_logo_url	attribution_link_url
f952c65c-4e74-4fee-b337-88e172bb64b0					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
3ea46c30-3cb5-45c7-b2c9-a354731aab8d					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
1e51fd6a-f6a7-4977-b79c-3a64e6386d28					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
b49e16b1-511d-4a3c-8d1b-acbb6e4e11b2					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
a0033ba7-e2b9-417b-8e71-21eb57a0ff66					Demi Eslava			https://creativecommons.org/licenses/by-nc/4.0/							
56f383c6-392a-4e97-a942-ea4bec366390					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
4d9a7d15-7931-4cf3-b4ee-f03f277073e2					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
2a637d8f-549e-449b-977d-b315d0a3b9ad					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
a5a9fb3b-5512-42bc-8b1e-5b1b35f4bcd9					Cedric Lee			https://creativecommons.org/licenses/by-nc/4.0/							
bb58887f-0c88-4066-8d70-0bbf1c5fe548					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
731cd994-fd22-4e90-9dc3-1a4ce92cd025					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
d7ded497-e3df-47f3-a2d9-e2238c6ff6c3					The Hog Potato										
ecc0bb9e-aa63-4614-aba2-5b872761a0cb					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
ad89e222-061f-4095-96c1-75f510e40bfd					Jenny Hazlehurst			https://creativecommons.org/licenses/by-nc/4.0/							
7ac54db7-0dde-47ff-b1fc-d4182032b4a2					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
b51e5e1b-7834-4ac2-82da-cdf020dba43a					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
550f1a03-2cfa-4f37-8cf1-6585bb3d3f4f					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
ab6b10cb-f02c-4d6b-b6a0-837d68f5faf6					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
992d427a-6761-483a-be82-62643ba8b1eb					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
ff2e4d1c-d188-4473-8aab-61dffd711fbc					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
9e0d03fb-5a0e-408a-8508-21e13e55bd3e					Casey H. Richart			https://creativecommons.org/licenses/by/4.0/							
e5df471d-1156-48b1-945d-c693e7f959be					The Hog Potato										
668b39f4-3885-4482-a365-f8065056ed6a					LSchare (she/her)			https://creativecommons.org/licenses/by-nc/4.0/							
