"materialEntity_fk"	"assertionValue"	"assertionUnit"	"assertionType"	"assertionBy"
"P1.1AS"	19	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P1.1AS_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P1.1BS"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P1.1BS_pure"	29	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P1.2AS"	10	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P1.2AS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P1.2BS"	13	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P1.2BS_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.1AL"	102	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.1AL_pure"	14	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.1AS"	100	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.1AS_pure"	54	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.1BL"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.1BL_pure"	13	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.1BS"	437	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.1BS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.2AL"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.2AL_pure"	9	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.2AS"	52	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.2AS_pure"	44	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.2BL"	59	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.2BL_pure"	30	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P10.2BS"	116	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P10.2BS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.1AL"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.1AL_pure"	17	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.1AS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.1AS_pure"	38	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.1BS"	514	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.1BS_pure"	99	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.2AL"	121	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.2AL_pure"	21	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.2AS"	234	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.2AS_pure"	28	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.2BL"	27	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.2BL_pure"	16	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P100.2BS"	421	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P100.2BS_pure"	125	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.1AL"	40	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.1AL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.1AS"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.1AS_pure"	19	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.1BS"	45	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.1BS_pure"	18	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.2AL"	23	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.2AL_pure"	7	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.2AS"	329	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.2AS_pure"	41	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.2BL"	39	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P101.2BS"	238	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P101.2BS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P102.1AS"	9	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P102.1AS_pure"	3	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P102.2AL"	21	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P102.2AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P102.2AS"	141	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P102.2AS_pure"	56	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P102.2BS"	1369	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P102.2BS_pure"	171	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.1AL"	5	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P103.1AL_pure"	2	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.1AS"	34	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P103.1AS_pure"	27	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.1BS"	16	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P103.1BS_pure"	6	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.2AL"	56	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P103.2AL_pure"	8	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.2AS"	51	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P103.2AS_pure"	53	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.2BL"	41	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
"P103.2BL_pure"	5	"ng/µl"	"DNA concentration"	"Lene Bruhn Pedersen"
"P103.2BS"	145	"mg"	"dry weight biomass"	"Lene Bruhn Pedersen"
