surveyTargetID	surveyID	surveyTargetType	surveyTargetValue	includeOrExclude	isSurveyTargetFullyReported
P1.1A_taxon	P1.1A	taxon	Insecta	include	TRUE
P1.1B_taxon	P1.1B	taxon	Insecta	include	TRUE
P200.1A_taxon	P200.1A	taxon	Insecta	include	TRUE
P200.1B_taxon	P200.1B	taxon	Insecta	include	TRUE
P1.2A_taxon	P1.2A	taxon	Insecta	include	TRUE
P1.2B_taxon	P1.2B	taxon	Insecta	include	TRUE
P200.2A_taxon	P200.2A	taxon	Insecta	include	TRUE
P200.2B_taxon	P200.2B	taxon	Insecta	include	TRUE
P2.1A_taxon	P2.1A	taxon	Insecta	include	TRUE
P2.1B_taxon	P2.1B	taxon	Insecta	include	TRUE
P2.2A_taxon	P2.2A	taxon	Insecta	include	TRUE
P2.2B_taxon	P2.2B	taxon	Insecta	include	TRUE
P3.1A_taxon	P3.1A	taxon	Insecta	include	TRUE
P3.1B_taxon	P3.1B	taxon	Insecta	include	TRUE
P310.1A_taxon	P310.1A	taxon	Insecta	include	TRUE
P310.1B_taxon	P310.1B	taxon	Insecta	include	TRUE
P3.2A_taxon	P3.2A	taxon	Insecta	include	TRUE
P3.2B_taxon	P3.2B	taxon	Insecta	include	TRUE
P196.1A_taxon	P196.1A	taxon	Insecta	include	TRUE
P196.1B_taxon	P196.1B	taxon	Insecta	include	TRUE
P4.1A_taxon	P4.1A	taxon	Insecta	include	TRUE
P4.1B_taxon	P4.1B	taxon	Insecta	include	TRUE
P4.2A_taxon	P4.2A	taxon	Insecta	include	TRUE
P4.2B_taxon	P4.2B	taxon	Insecta	include	TRUE
P6.1A_taxon	P6.1A	taxon	Insecta	include	TRUE
P6.1B_taxon	P6.1B	taxon	Insecta	include	TRUE
P6.2A_taxon	P6.2A	taxon	Insecta	include	TRUE
P6.2B_taxon	P6.2B	taxon	Insecta	include	TRUE
P7.1A_taxon	P7.1A	taxon	Insecta	include	TRUE
P7.1B_taxon	P7.1B	taxon	Insecta	include	TRUE
P283.1A_taxon	P283.1A	taxon	Insecta	include	TRUE
P283.1B_taxon	P283.1B	taxon	Insecta	include	TRUE
P7.2A_taxon	P7.2A	taxon	Insecta	include	TRUE
P7.2B_taxon	P7.2B	taxon	Insecta	include	TRUE
P8.1A_taxon	P8.1A	taxon	Insecta	include	TRUE
P8.1B_taxon	P8.1B	taxon	Insecta	include	TRUE
P199.1A_taxon	P199.1A	taxon	Insecta	include	TRUE
P199.1B_taxon	P199.1B	taxon	Insecta	include	TRUE
P8.2A_taxon	P8.2A	taxon	Insecta	include	TRUE
P8.2B_taxon	P8.2B	taxon	Insecta	include	TRUE
P302.1A_taxon	P302.1A	taxon	Insecta	include	TRUE
P302.1B_taxon	P302.1B	taxon	Insecta	include	TRUE
P9.1A_taxon	P9.1A	taxon	Insecta	include	TRUE
P9.1B_taxon	P9.1B	taxon	Insecta	include	TRUE
P302.2A_taxon	P302.2A	taxon	Insecta	include	TRUE
P302.2B_taxon	P302.2B	taxon	Insecta	include	TRUE
P9.2A_taxon	P9.2A	taxon	Insecta	include	TRUE
P9.2B_taxon	P9.2B	taxon	Insecta	include	TRUE
P10.1A_taxon	P10.1A	taxon	Insecta	include	TRUE
P10.1B_taxon	P10.1B	taxon	Insecta	include	TRUE
P10.2A_taxon	P10.2A	taxon	Insecta	include	TRUE
P10.2B_taxon	P10.2B	taxon	Insecta	include	TRUE
P346.2A_taxon	P346.2A	taxon	Insecta	include	TRUE
P346.2B_taxon	P346.2B	taxon	Insecta	include	TRUE
P11.1A_taxon	P11.1A	taxon	Insecta	include	TRUE
P11.1B_taxon	P11.1B	taxon	Insecta	include	TRUE
P209.1A_taxon	P209.1A	taxon	Insecta	include	TRUE
P209.1B_taxon	P209.1B	taxon	Insecta	include	TRUE
P11.2A_taxon	P11.2A	taxon	Insecta	include	TRUE
P11.2B_taxon	P11.2B	taxon	Insecta	include	TRUE
P209.2A_taxon	P209.2A	taxon	Insecta	include	TRUE
P209.2B_taxon	P209.2B	taxon	Insecta	include	TRUE
P12.1A_taxon	P12.1A	taxon	Insecta	include	TRUE
P12.1B_taxon	P12.1B	taxon	Insecta	include	TRUE
P210.1A_taxon	P210.1A	taxon	Insecta	include	TRUE
P210.1B_taxon	P210.1B	taxon	Insecta	include	TRUE
P12.2A_taxon	P12.2A	taxon	Insecta	include	TRUE
P12.2B_taxon	P12.2B	taxon	Insecta	include	TRUE
P210.2A_taxon	P210.2A	taxon	Insecta	include	TRUE
P210.2B_taxon	P210.2B	taxon	Insecta	include	TRUE
P13.1A_taxon	P13.1A	taxon	Insecta	include	TRUE
P13.1B_taxon	P13.1B	taxon	Insecta	include	TRUE
P300.1A_taxon	P300.1A	taxon	Insecta	include	TRUE
P300.1B_taxon	P300.1B	taxon	Insecta	include	TRUE
P13.2A_taxon	P13.2A	taxon	Insecta	include	TRUE
P13.2B_taxon	P13.2B	taxon	Insecta	include	TRUE
P300.2A_taxon	P300.2A	taxon	Insecta	include	TRUE
P300.2B_taxon	P300.2B	taxon	Insecta	include	TRUE
P15.1A_taxon	P15.1A	taxon	Insecta	include	TRUE
P15.1B_taxon	P15.1B	taxon	Insecta	include	TRUE
P224.1A_taxon	P224.1A	taxon	Insecta	include	TRUE
P224.1B_taxon	P224.1B	taxon	Insecta	include	TRUE
P15.2A_taxon	P15.2A	taxon	Insecta	include	TRUE
P15.2B_taxon	P15.2B	taxon	Insecta	include	TRUE
P224.2A_taxon	P224.2A	taxon	Insecta	include	TRUE
P224.2B_taxon	P224.2B	taxon	Insecta	include	TRUE
P16.1A_taxon	P16.1A	taxon	Insecta	include	TRUE
P16.1B_taxon	P16.1B	taxon	Insecta	include	TRUE
P16.2A_taxon	P16.2A	taxon	Insecta	include	TRUE
P16.2B_taxon	P16.2B	taxon	Insecta	include	TRUE
P323.1A_taxon	P323.1A	taxon	Insecta	include	TRUE
P323.1B_taxon	P323.1B	taxon	Insecta	include	TRUE
P17.1A_taxon	P17.1A	taxon	Insecta	include	TRUE
P17.1B_taxon	P17.1B	taxon	Insecta	include	TRUE
P270.1A_taxon	P270.1A	taxon	Insecta	include	TRUE
P270.1B_taxon	P270.1B	taxon	Insecta	include	TRUE
P17.2A_taxon	P17.2A	taxon	Insecta	include	TRUE
P17.2B_taxon	P17.2B	taxon	Insecta	include	TRUE
P270.2A_taxon	P270.2A	taxon	Insecta	include	TRUE
P270.2B_taxon	P270.2B	taxon	Insecta	include	TRUE
P18.1A_taxon	P18.1A	taxon	Insecta	include	TRUE
P18.1B_taxon	P18.1B	taxon	Insecta	include	TRUE
P18.2A_taxon	P18.2A	taxon	Insecta	include	TRUE
P18.2B_taxon	P18.2B	taxon	Insecta	include	TRUE
P19.1A_taxon	P19.1A	taxon	Insecta	include	TRUE
P19.1B_taxon	P19.1B	taxon	Insecta	include	TRUE
P195.1A_taxon	P195.1A	taxon	Insecta	include	TRUE
P195.1B_taxon	P195.1B	taxon	Insecta	include	TRUE
P19.2A_taxon	P19.2A	taxon	Insecta	include	TRUE
P19.2B_taxon	P19.2B	taxon	Insecta	include	TRUE
P20.1A_taxon	P20.1A	taxon	Insecta	include	TRUE
P20.1B_taxon	P20.1B	taxon	Insecta	include	TRUE
P284.1A_taxon	P284.1A	taxon	Insecta	include	TRUE
P284.1B_taxon	P284.1B	taxon	Insecta	include	TRUE
P20.2A_taxon	P20.2A	taxon	Insecta	include	TRUE
P20.2B_taxon	P20.2B	taxon	Insecta	include	TRUE
P21.1A_taxon	P21.1A	taxon	Insecta	include	TRUE
P21.1B_taxon	P21.1B	taxon	Insecta	include	TRUE
P269.1A_taxon	P269.1A	taxon	Insecta	include	TRUE
P269.1B_taxon	P269.1B	taxon	Insecta	include	TRUE
P21.2A_taxon	P21.2A	taxon	Insecta	include	TRUE
P21.2B_taxon	P21.2B	taxon	Insecta	include	TRUE
P22.1A_taxon	P22.1A	taxon	Insecta	include	TRUE
P22.1B_taxon	P22.1B	taxon	Insecta	include	TRUE
P22.2A_taxon	P22.2A	taxon	Insecta	include	TRUE
P22.2B_taxon	P22.2B	taxon	Insecta	include	TRUE
P23.1A_taxon	P23.1A	taxon	Insecta	include	TRUE
P23.1B_taxon	P23.1B	taxon	Insecta	include	TRUE
P194.1A_taxon	P194.1A	taxon	Insecta	include	TRUE
P194.1B_taxon	P194.1B	taxon	Insecta	include	TRUE
P23.2A_taxon	P23.2A	taxon	Insecta	include	TRUE
